created,description,details,provenance,title,uri,id,place_id,name_type,language_tag,attested_form,romanized_form_1,romanized_form_2,romanized_form_3,association_certainty,transcription_accuracy,transcription_completeness,year_after_which,year_before_which
2024-09-22T14:22:12Z,,,Pleiades,Paleochristian Basilica of l'illa del Rei,https://pleiades.stoa.org/places/260468071/paleochristian-basilica-of-lilla-del-rei,paleochristian-basilica-of-lilla-del-rei,260468071,geographic,en,Paleochristian Basilica of l'illa del Rei,Paleochristian Basilica of l'illa del Rei,,,certain,accurate,complete,2000,2099
2015-06-02T12:43:41Z,The name of an ancient Roman tribe.,,Pleiades,Romilia,https://pleiades.stoa.org/places/260329424/romilia,romilia,260329424,ethnic,la,Romilia,Romilia,,,certain,accurate,complete,-330,300
2019-11-25T15:27:01Z,,,Pleiades,Arthur's O'on,https://pleiades.stoa.org/places/260256455/arthurs-oon,arthurs-oon,260256455,geographic,en,"Arthur's O'on, Stenhouse",Arthur's O'on,Stenhouse,,certain,accurate,complete,1700,2100
2010-11-09T19:27:37Z,,,Barrington Atlas: BAtlas 26 Cairieses,Cairieses,https://pleiades.stoa.org/places/260520/cairieses,cairieses,260520,geographic,,,Cairieses,,,certain,accurate,complete,-30,300
2010-11-09T19:28:28Z,,,Barrington Atlas: BAtlas 26 Konistorgis,Konistorgis,https://pleiades.stoa.org/places/260577/konistorgis,konistorgis,260577,geographic,,,Konistorgis,,,certain,accurate,complete,-30,300
2010-11-09T19:28:51Z,,,Barrington Atlas: BAtlas 26 Manliana,Manliana,https://pleiades.stoa.org/places/260598/manliana,manliana,260598,geographic,,,Manliana,,,certain,accurate,complete,-30,300
2010-11-09T19:27:55Z,,,Barrington Atlas: BAtlas 26 Chretina,Chretina,https://pleiades.stoa.org/places/260536/chretina,chretina,260536,geographic,,,Chretina,,,certain,accurate,complete,-30,300
2010-11-09T19:28:47Z,,,Barrington Atlas: BAtlas 26 Lisangl(...),Lisangl(...),https://pleiades.stoa.org/places/260594/lisangl,lisangl,260594,geographic,,,Lisangl(...),,,certain,accurate,reconstructable,-30,300
2010-11-09T19:28:34Z,,,Barrington Atlas: BAtlas 26 Lacca,Lacca,https://pleiades.stoa.org/places/260582/lacca,lacca,260582,geographic,,,Lacca,,,certain,accurate,complete,-30,300
2010-11-09T19:27:34Z,,,Barrington Atlas: BAtlas 26 Bursavo,Bursavo,https://pleiades.stoa.org/places/260516/bursavo,bursavo,260516,geographic,,,Bursavo,,,certain,accurate,complete,-330,-30
2010-11-09T19:28:14Z,,,Barrington Atlas: BAtlas 26 Geraia,Geraia,https://pleiades.stoa.org/places/260557/geraia,geraia,260557,geographic,,,Geraia,,,certain,accurate,complete,-30,640
2010-11-09T19:28:13Z,,,Barrington Atlas: BAtlas 26 Gemella,Gemella,https://pleiades.stoa.org/places/260556/gemella,gemella,260556,geographic,,,Gemella,,,certain,accurate,complete,-330,-30
2010-11-09T19:27:17Z,,,Barrington Atlas: BAtlas 26 Baedorus,Baedorus,https://pleiades.stoa.org/places/260501/baedorus,baedorus,260501,geographic,,,Baedorus,,,certain,accurate,complete,-30,300
