place_id,place_type
963537714,settlement
962776820,bridge
962627,pass
96282639,unlocated
96282639,settlement
962493324,archaeological-site
962493324,architecturalcomplex
962538927,nuraghe
962538927,archaeological-site
965004100,bridge
965050506,shrine
96505315,settlement
965147384,settlement
965147384,settlement-modern
965485210,settlement
965485210,acropolis
965485210,archaeological-site
965370150,shrine
965370150,cave
965370150,temple-2
965286144,villa
965247252,bridge
919662719,archive-repository
919662720,archive-repository
919620902,sanctuary
919620902,settlement
919152219,villa
910953111,temple-2
910605204,tribus
910479808,church-2
910468314,fort-2
910399260,road
917618128,villa
917618128,settlement-modern
91764390,archaeological-site
91764390,palace
91764390,citadel
917412528,theatre
917389428,region
917322799,findspot
917322799,archaeological-site
917322799,settlement-modern
917294321,temple-2
917565626,cemetery
916973546,tomb
916097591,church-2
916097591,monastery
916091377,findspot
916091377,archaeological-site
916046175,sanctuary
916776659,tomb
916778615,tomb
916747330,sanctuary
916165989,settlement
916890383,city-wall
916419409,findspot
916396910,settlement
916222889,bridge
916523749,settlement
911676867,castle
911125508,hill
911483313,unlocated
911483313,temple-2
911351381,unlocated
911351381,mountain
911351383,settlement
911351382,settlement
91127594,unlocated
91127594,settlement
911517620,hill
911555695,settlement
918941621,findspot
918941620,findspot
918941620,settlement-modern
918074508,city-gate
918074508,city-wall
918126100,monument
918427409,bath
918352244,architecturalcomplex
918508893,city-gate
918508894,city-gate
918508895,city-gate
914767313,amphitheatre
914763973,fort-2
914715153,gymnasium
914715153,architecturalcomplex
914118847,findspot
914118847,settlement-modern
914118846,tunnel
914118846,cave
914118846,monument
914308,canal
914309,canal
914310,canal
914307,canal
914390081,ruin
914390081,theatre
914390524,region
914286390,cemetery
91358,frontier-system-limes
91357,frontier-system-limes
913927020,cemetery
913038938,fort-2
913038938,hillfort
913038939,fort-2
913038939,archaeological-site
91371094,settlement
91371094,port
913163220,findspot
913163220,settlement
913111964,basilica
913408588,theatre
913465647,bridge
913465646,causeway
913287176,tomb
913287176,sanctuary
913287176,temple-2
913253768,cemetery
913253768,archaeological-site
91325207,hill
913553,bridge
